lens_id,ra,dec,redshift,total_mass_Msun,mass_surface_density_Msun_per_Mpc2,density_class,surface_density_Msun_per_kpc2,environment_class,surface_density_kpc2
HE0047-1756,12.6158,-17.6693,0.407,0.0,0.0,zero_galaxies,,zero_galaxies,
DESJ0112-1650,18.141188,-16.840955,0.54,0.0,0.0,zero_galaxies,,zero_galaxies,
SDSSJ0114+0722,18.6598,7.3747,0.408,978150000000000.0,6875748287140.976,high,6875748.287140978,cluster core (high density),
PMNJ0134-0931,23.64858,-9.51747,0.765,1086400000000000.0,4151717407784.636,medium,4151717.407784636,cluster core (high density),
J0140-1152,25.01251,-11.87206,0.28,0.0,0.0,zero_galaxies,,zero_galaxies,
Q0142-100,26.3194,-9.75475,0.491,1184750000000000.0,6746610464868.138,high,6746610.46486814,cluster core (high density),
PSJ0147+4630,26.79231,46.5118,0.678,0.0,0.0,zero_galaxies,,zero_galaxies,
QJ0158-4325,29.6724,-43.4178,0.317,0.0,0.0,zero_galaxies,,zero_galaxies,
B0218+357,35.27285,35.93716,0.685,0.0,0.0,zero_galaxies,,zero_galaxies,
HE0230-2130,38.13829,-21.29046,0.523,0.0,0.0,zero_galaxies,,zero_galaxies,
SDSSJ0246-0825,41.64204,-8.42669,0.723,2760050000000000.0,10996834703933.08,high,10996834.70393308,cluster core (high density),
DESJ0247-6349,41.9779,-63.8233,0.43,0.0,0.0,zero_galaxies,,zero_galaxies,
SDSSJ0256+0153,44.1697,1.8915,0.603,731300000000000.0,3393953169838.888,medium,3393953.169838888,cluster core (high density),
DESJ0407-1931,61.97413,-19.5228,0.29,0.0,0.0,zero_galaxies,,zero_galaxies,
DESJ0408-5354,62.0905,-53.8999,0.597,0.0,0.0,zero_galaxies,,zero_galaxies,
MG0414+0534,63.65719,5.57862,0.96,878450000000000.0,2923103216578.2085,medium,2923103.216578209,cluster core (high density),
HE0435-1223,69.5619,-12.28745,0.454,0.0,0.0,zero_galaxies,,zero_galaxies,
B0445+123,72.09163,12.46539,0.558,1507350000000000.0,7528503475403.634,high,7528503.475403632,cluster core (high density),
HE0512-3329,78.54541,-33.43958,0.93,0.0,0.0,zero_galaxies,,zero_galaxies,
B0631+519,98.80131,51.9505,0.62,0.0,0.0,zero_galaxies,,zero_galaxies,
B0712+472,109.0151,47.14735,0.406,0.0,0.0,zero_galaxies,,zero_galaxies,
ULASJ0743+2457,115.96921,24.96211,0.381,3075650000000000.0,23505171148565.32,high,23505171.148565304,cluster core (high density),
SDSSJ0746+4403,116.721,44.06425,0.513,2426700000000000.0,13193465959274.455,high,13193465.959274456,cluster core (high density),
SDSSJ0806+2006,121.59867,20.10874,0.573,4839400000000000.0,23558589944752.223,high,23558589.944752216,cluster core (high density),
SDSSJ0818+0601,124.6268,6.0271,1.01,2909950000000000.0,9450575478752.334,high,9450575.478752334,cluster core (high density),
SDSSJ0819+5356,124.99909,53.94018,0.294,922500000000000.0,9922475935231.006,high,9922475.935231004,cluster core (high density),
ULASJ0820+0812,125.06706,8.20466,0.803,6008950000000000.0,22206024975098.64,high,22206024.975098632,cluster core (high density),
HS0818+1227,125.4121,12.29191,0.39,3440250000000000.0,25544056692443.56,high,25544056.69244357,cluster core (high density),
SDSSJ0821+4542,125.4943,45.71233,0.349,5587750000000000.0,47733482168596.12,high,47733482.1685961,cluster core (high density),
SDSSJ0832+0404,128.0711,4.06789,0.659,2812250000000000.0,12070974722104.754,high,12070974.722104758,cluster core (high density),
PSJ0840+3550,130.1379,35.83334,0.26,3497450000000000.0,44796122416685.66,high,44796122.41668565,cluster core (high density),
B0850+054,133.22323,5.25435,0.5883,2410800000000000.0,11447041025912.05,high,11447041.025912052,cluster core (high density),
SDSSJ0903+5028,135.89609,50.47213,0.388,1802150000000000.0,13465939125533.191,high,13465939.125533195,cluster core (high density),
SDSSJ0909+4449,137.43957,44.83183,0.9,999850000000000.0,3443694027158.769,medium,3443694.027158768,cluster core (high density),
RXJ0911+0551,137.86471,5.84834,0.769,1819400000000000.0,6927161124286.44,high,6927161.124286439,cluster core (high density),
SBS0909+532,138.25425,52.99133,0.83,1893850000000000.0,6848765031687.424,high,6848765.031687422,cluster core (high density),
SDSSJ0921+2854,140.3142,28.9124,0.445,869700000000000.0,5522612637349.773,high,5522612.637349773,cluster core (high density),
SDSSJ0924+0219,141.23246,2.32358,0.393,2179300000000000.0,16030157725229.828,high,16030157.725229826,cluster core (high density),
J0941+0518,145.3439,5.3066,0.343,1558650000000000.0,13618487999506.469,high,13618487.999506462,cluster core (high density),
SDSSJ0946+1835,146.52017,18.59453,0.388,913500000000000.0,6825811054115.679,high,6825811.054115681,cluster core (high density),
PSJ0949+4208,147.4784,42.1336,0.508,1102250000000000.0,6054313705264.987,high,6054313.7052649865,cluster core (high density),
FBQ0951+2635,147.84404,26.58719,0.26,716950000000000.0,9182856071321.328,high,9182856.071321327,cluster core (high density),
BRI0952-0115,148.75038,-1.50187,0.632,1689750000000000.0,7518644744553.619,high,7518644.744553619,cluster core (high density),
COSMOS5921+0638,149.84071,2.11063,0.551,1088650000000000.0,5505111480093.217,high,5505111.4800932165,cluster core (high density),
Q0957+561,150.33665,55.89791,0.3562,2038200000000000.0,16958900739342.42,high,16958900.73934242,cluster core (high density),
SDSSJ1001+5027,150.36876,50.46595,0.415,1137300000000000.0,7833744927133.223,high,7833744.927133224,cluster core (high density),
J1004+1229,151.10379,12.48966,0.95,1637250000000000.0,5477125853116.594,high,5477125.853116592,cluster core (high density),
SDSSJ1004+4112,151.14294,41.2118,0.68,1068000000000000.0,4466406246648.234,medium,4466406.246648234,cluster core (high density),
LBQS1009-0252,153.06622,-3.11767,0.871,1314050000000000.0,4612629573053.758,medium,4612629.573053758,cluster core (high density),
SDSSJ1021+4913,155.29588,49.22508,0.451,1088250000000000.0,6805960962525.371,high,6805960.962525372,cluster core (high density),
SDSSJ1029+2623,157.30765,26.39171,0.584,706100000000000.0,3375888777292.608,medium,3375888.777292608,cluster core (high density),
B1030+074,158.39177,7.1905,0.599,695150000000000.0,3245963157988.48,medium,3245963.15798848,cluster core (high density),
SDSSJ1055+4628,163.93938,46.4777,0.388,741800000000000.0,5542842517726.339,high,5542842.51772634,cluster core (high density),
HE1104-1805,166.63938,-18.35672,0.729,1527150000000000.0,6046517184170.248,high,6046517.184170246,cluster core (high density),
PG1115+080,169.57035,7.76627,0.311,686950000000000.0,6839243151986.064,high,6839243.151986064,cluster core (high density),
RXJ1131-1231,172.9644,-12.5329,0.295,0.0,0.0,zero_galaxies,,zero_galaxies,
SDSSJ1138+0314,174.51554,3.24939,0.445,873600000000000.0,5547377716441.028,high,5547377.716441028,cluster core (high density),
SDSSJ1155+6346,178.82195,63.77265,0.176,2234800000000000.0,52099592992324.1,high,52099592.992324114,cluster core (high density),
B1152+199,178.82639,19.66146,0.438,996300000000000.0,6442645445234.123,high,6442645.445234122,cluster core (high density),
SDSSJ1206+4332,181.62361,43.53856,0.748,726750000000000.0,2822832580494.739,medium,2822832.580494738,cluster core (high density),
SDSSJ1226-0006,186.53342,-0.10061,0.517,1606850000000000.0,8665976652804.645,high,8665976.652804643,cluster core (high density),
SDSSJ1251+2935,192.78154,29.59458,0.41,523100000000000.0,3655573256068.6914,medium,3655573.256068692,cluster core (high density),
SDSSJ1254+1857,193.6681,18.95333,0.555,1117250000000000.0,5609668378161.878,high,5609668.378161878,cluster core (high density),
2M1310-1714,197.5835,-17.24939,0.293,0.0,0.0,zero_galaxies,,zero_galaxies,
SDSSJ1313+5151,198.41675,51.85801,0.194,1268950000000000.0,25331300351172.32,high,25331300.35117232,cluster core (high density),
SDSSJ1320+1644*,200.24778,16.73437,0.899,1145250000000000.0,3946960355260.0327,medium,3946960.355260035,cluster core (high density),
J1326+4806,201.50006,48.11208,0.396,709450000000000.0,5170236525151.469,high,5170236.525151468,cluster core (high density),
SDSSJ1330+1810,202.57772,18.17581,0.373,970350000000000.0,7614962674811.291,high,7614962.674811291,cluster core (high density),
SDSSJ1332+0347,203.09425,3.79442,0.191,1605900000000000.0,32855970354524.07,high,32855970.354524072,cluster core (high density),
