Loaded 1486 lenses
Lenses with non-zero mass surface density: 912

Summary of lenses below CDM threshold (excluding zero-mass lenses):
 f_star  lenses_below_threshold  percent_below_threshold
   0.01                       6                     0.66
   0.02                       6                     0.66
   0.03                      42                     4.61
   0.04                     123                    13.49
   0.05                     180                    19.74
   0.06                     282                    30.92
   0.07                     414                    45.39
   0.08                     468                    51.32
   0.09                     501                    54.93
   0.10                     561                    61.51
   0.11                     600                    65.79
   0.12                     609                    66.78
   0.13                     633                    69.41
   0.14                     663                    72.70
   0.15                     678                    74.34
   0.16                     687                    75.33
   0.17                     714                    78.29
   0.18                     726                    79.61
   0.19                     735                    80.59
   0.20                     738                    80.92
